name,url,category,categoryKorean,region,language,stars,forks,trendScore,trendScopes,compareScore,maturity,evidence,fileCount,dirCount,sourceDepthScore,keyReferenceCount,features,dominantBuckets,dependencyGroups,commandCategories,riskCategories,risks,standout,sourceDeepDivePath,reportPath,localPath
BerriAI/litellm,https://github.com/BerriAI/litellm,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,6958,1693,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;security;retrieval;agentRuntime;mcp,llmProviders;agentProtocols;agentFrameworks;webRuntime;developerSurface;observability,utility;serve-dev;test;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/BerriAI__litellm.md,reports/clone-structures/BerriAI__litellm.md,sources/BerriAI__litellm
ComposioHQ/composio,https://github.com/ComposioHQ/composio,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,2244,559,138,12,monorepo;cli-first;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,docs;eval;agentRuntime;config;retrieval,llmProviders;agentFrameworks,build;utility;test;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/ComposioHQ__composio.md,reports/clone-structures/ComposioHQ__composio.md,sources/ComposioHQ__composio
EricLBuehler/mistral.rs,https://github.com/EricLBuehler/mistral.rs,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,1325,273,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,docs;entrypoints;retrieval;agentRuntime;config,agentProtocols;modelRuntime;observability,utility;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/8/EricLBuehler__mistral.rs.md,reports/clone-structures/EricLBuehler__mistral.rs.md,sources/EricLBuehler__mistral.rs
langfuse/langfuse,https://github.com/langfuse/langfuse,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,3657,1175,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;retrieval;mcp;security,,quality;utility;serve-dev;test;build,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/6/langfuse__langfuse.md,reports/clone-structures/langfuse__langfuse.md,sources/langfuse__langfuse
microsoft/vscode-copilot-chat,https://github.com/microsoft/vscode-copilot-chat.git,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,4414,1052,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;spec;retrieval;config,llmProviders;agentProtocols;webRuntime;developerSurface;observability;browserAutomation,utility;build;serve-dev;test;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/9/microsoft__vscode-copilot-chat.md,reports/clone-structures/microsoft__vscode-copilot-chat.md,sources/microsoft__vscode-copilot-chat
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,4944,793,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;docs;entrypoints;security,llmProviders;agentProtocols;webRuntime,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/6/NousResearch__hermes-agent.md,reports/clone-structures/NousResearch__hermes-agent.md,sources/NousResearch__hermes-agent
NVIDIA/TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,eval-observability,평가/관측/품질,mixed,unknown,0,0,0,,192,solid,deep-source+report,10448,1070,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;agentRuntime;config;security,llmProviders;agentProtocols;modelRuntime;webRuntime;developerSurface;observability,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/NVIDIA__TensorRT-LLM.md,reports/clone-structures/NVIDIA__TensorRT-LLM.md,sources/NVIDIA__TensorRT-LLM
QwenLM/qwen-code,https://github.com/QwenLM/qwen-code,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,2955,437,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;docs;retrieval;mcp,webRuntime,serve-dev;test;utility;build;quality;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/2/QwenLM__qwen-code.md,reports/clone-structures/QwenLM__qwen-code.md,sources/QwenLM__qwen-code
sourcebot-dev/sourcebot,https://github.com/sourcebot-dev/sourcebot.git,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,1327,347,138,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,docs;agentRuntime;eval;mcp;security,,build;test;quality;serve-dev;utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/3/sourcebot-dev__sourcebot.md,reports/clone-structures/sourcebot-dev__sourcebot.md,sources/sourcebot-dev__sourcebot
weaviate/weaviate,https://github.com/weaviate/weaviate,eval-observability,평가/관측/품질,mixed,unknown,0,0,0,,192,solid,deep-source+report,4747,807,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;retrieval;spec;security;agentRuntime,agentProtocols;vectorStores;observability,utility;container;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/0/weaviate__weaviate.md,reports/clone-structures/weaviate__weaviate.md,sources/weaviate__weaviate
Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,192,solid,deep-source+report,1529,290,138,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;retrieval;docs;mcp,llmProviders;agentProtocols;developerSurface,serve-dev;build;container;test;utility;quality;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/Yeachan-Heo__oh-my-claudecode.md,reports/clone-structures/Yeachan-Heo__oh-my-claudecode.md,sources/Yeachan-Heo__oh-my-claudecode
humanlayer/humanlayer,https://github.com/humanlayer/humanlayer,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,191,solid,deep-source+report,794,114,137,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;docs;entrypoints;agentRuntime;config,,build;serve-dev;quality;utility;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/6/humanlayer__humanlayer.md,reports/clone-structures/humanlayer__humanlayer.md,sources/humanlayer__humanlayer
khoj-ai/khoj,https://github.com/khoj-ai/khoj,agent-harness-mcp,에이전트 하네스/MCP,mixed,Python,35186,2252,0,,272,high-signal,deep-source+report,699,143,136,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;agentRuntime;ci;config,llmProviders;agentProtocols;agentFrameworks;vectorStores;modelRuntime;webRuntime;developerSurface,utility,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/c/khoj-ai__khoj.md,reports/llm-wiki/repositories/khoj-ai__khoj.md,sources/khoj-ai__khoj
rohitg00/agentmemory,https://github.com/rohitg00/agentmemory.git,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,190,solid,deep-source+report,615,92,136,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;docs;agentRuntime;retrieval;mcp,llmProviders,serve-dev;build;test;utility;quality;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/rohitg00__agentmemory.md,reports/clone-structures/rohitg00__agentmemory.md,sources/rohitg00__agentmemory
langchain-ai/langchain,https://github.com/langchain-ai/langchain,agent-harness-mcp,에이전트 하네스/MCP,global,Python,139576,23129,238,global,612,high-signal,deep-source+report,2935,555,135,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;agentRuntime;retrieval;config;ci,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/langchain-ai__langchain.md,reports/global-trending/repositories/langchain-ai__langchain.md,sources/langchain-ai__langchain
microsoft/autogen,https://github.com/microsoft/autogen,agent-harness-mcp,에이전트 하네스/MCP,global,Python,59042,8905,169,global,508,high-signal,deep-source+report,1837,482,135,12,cli-first;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;agentRuntime;retrieval;mcp,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/d/microsoft__autogen.md,reports/global-trending/repositories/microsoft__autogen.md,sources/microsoft__autogen
run-llama/llama_index,https://github.com/run-llama/llama_index,agent-harness-mcp,에이전트 하네스/MCP,global,Python,50200,7581,230,global,596,high-signal,deep-source+report,10012,3792,135,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;model-runtime,retrieval;docs;config;eval;agentRuntime,llmProviders;agentFrameworks;modelRuntime,utility;quality;test;serve-dev,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/run-llama__llama_index.md,reports/global-trending/repositories/run-llama__llama_index.md,sources/run-llama__llama_index
getzep/zep,https://github.com/getzep/zep,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,189,solid,deep-source+report,536,158,135,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,retrieval;eval;agentRuntime;mcp;config,,,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/7/getzep__zep.md,reports/clone-structures/getzep__zep.md,sources/getzep__zep
nesquena/hermes-webui,https://github.com/nesquena/hermes-webui,agent-harness-mcp,에이전트 하네스/MCP,mixed,unknown,0,0,0,,186,solid,deep-source+report,1173,95,135,12,api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,eval;docs;security;retrieval;agentRuntime,,quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/4/nesquena__hermes-webui.md,reports/clone-structures/nesquena__hermes-webui.md,sources/nesquena__hermes-webui
cline/cline,https://github.com/cline/cline,agent-harness-mcp,에이전트 하네스/MCP,global,TypeScript,63454,6712,200,global,554,high-signal,deep-source+report,3366,683,134,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions,entrypoints;eval;agentRuntime;docs;retrieval,,utility;build;serve-dev;quality;test,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/f/cline__cline.md,reports/global-trending/repositories/cline__cline.md,sources/cline__cline
milvus-io/milvus,https://github.com/milvus-io/milvus,data-vector-platform,데이터/벡터 플랫폼,global,Go,44821,4072,209,global,564,high-signal,deep-source+report,5254,788,134,12,cli-first;api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions;observability,eval;retrieval;docs;agentRuntime;spec,vectorStores;observability,utility;build;quality,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/6/milvus-io__milvus.md,reports/global-trending/repositories/milvus-io__milvus.md,sources/milvus-io__milvus
pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,agent-harness-mcp,에이전트 하네스/MCP,global,Python,17819,2224,162,global,491,high-signal,deep-source+report,2095,167,134,12,cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;agent-instructions;model-runtime,eval;docs;retrieval;agentRuntime;ci,llmProviders;agentProtocols;agentFrameworks;modelRuntime;webRuntime,utility;quality,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/a/pydantic__pydantic-ai.md,reports/global-trending/repositories/pydantic__pydantic-ai.md,sources/pydantic__pydantic-ai
xorbitsai/inference,https://github.com/xorbitsai/inference,ai-infrastructure-serving,AI 인프라/서빙,global,Python,9359,836,146,global,461,high-signal,deep-source+report,1884,350,134,12,cli-first;api/server;agent-runtime;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy;agent-instructions,docs;eval;retrieval;agentRuntime;container,,,,,RAG/memory 구현과 검증 표면을 같이 가진 지식 시스템형 레포,reports/source-deep-dives/repositories/5/xorbitsai__inference.md,reports/global-trending/repositories/xorbitsai__inference.md,sources/xorbitsai__inference
gsd-build/gsd-2,https://github.com/gsd-build/gsd-2,agent-harness-mcp,에이전트 하네스/MCP,mixed,TypeScript,7739,776,0,,258,high-signal,deep-source+report,3605,349,134,12,monorepo;cli-first;api/server;agent-runtime;mcp/protocol;retrieval-memory;spec-artifacts;tests-evals;security-policy;container-deploy,eval;agentRuntime;retrieval;docs;security,llmProviders;agentProtocols;browserAutomation,build;serve-dev;utility;test;entrypoint,,,MCP/tool runtime가 실제 소스 경로로 확인되는 agent harness형 레포,reports/source-deep-dives/repositories/8/gsd-build__gsd-2.md,reports/clone-structures/gsd-build__gsd-2.md,sources/gsd-build__gsd-2
